PILPROJ;Deb;PILPROJ_DEB_FR_1;Conversations;Quelle icône permet d'ajouter des participants à une conversation de groupe? ;Which icon can add participants to a group conversation? (To add a participant to a group conversation, which icon should I use?);Icône Activer la vidéo//Icône Ajouter des participants//Icône Détacher la fenêtre;Activate video icon//Add participants icon//Pop out chat icon;"Si je dois ajouter des nouvelles personnes à une conversation de groupe, j'utilise la fonctionnalité ""Ajouter des participants"" au lieu de créer une nouvelle conversation. ";"When I have to add new people to a group conversation, I use the ""Add Participants"" feature instead of creating a new conversation.";B;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_13;Équipe/Discussions;Que fait Alex dans la vidéo? ;What is Alex doing in the video?;Il crée une conversation de groupe.//Il crée une équipe.//Il ajoute plusieurs canaux dans son équipe.//Il crée une réunion. ;He creates a group conversation.//He creates a team.//He adds more channels to a team.//He creates a meeting.;Dans mes équipes, je crée différents canaux  pour organiser les conversations par sujets, projets et disciplines spécifiques. Par analogie, l'équipe correspond à une maison et les canaux correspondent à plusieurs pièces de la maison. ;In my teams, I create different channels to organize conversations by specific topics, projects and disciplines. By analogy, if the team is a house the channels are the rooms in the house. ;B//C;QCMMultipleVideo
PILPROJ;Deb;PILPROJ_DEB_FR_14;Équipe/Discussions;Je souhaite modifier les membres de mon équipe projet. Comment faire? ;How can I change the memebers in my team project?;"Ce n'est pas possible.//Je clique sur les trois points ""…"" à côté du nom de l'équipe et je vais dans ""Gérer l'équipe"".//Je supprime l'équipe et je recommence à zéro. ";"This is not possible.//I click on the three dots ""..."" next to the team name and I go to ""Manage team"".//I delete the team and start from scratch.";En tant que propriétaire d'une équipe, je peux ajouter à tout moment des nouveaux membres ou en supprimer.;As a team owner, I can add or delete new members at any time.;B;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_1;Conversations;Pourquoi il est conseillé de renommer une conversation de groupe? ;Why it is advisable to rename a group conversation?;Pour la retrouver facilement à partir de la barre de recherche.//Pour identifier rapidement le thème abordé.//Pour structurer mes conversations de groupe.;To find it easily from the search bar.//To quickly identify the topic addressed.//To structure my group conversations.;Je peux retrouver des interlocuteurs similaires dans mes conversations de groupe. Je nomme toujours mes nouvelles conversations de groupe pour identifier le sujet abordé et le retrouver facilement à partir d'un mot clé. ;I always name my new group conversations to identify the topic addressed and find it easily from a keyword.;A//B//C;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_2;Conversations;Comment m'assurer que les membres de ma conversation de groupe ont bien vu mon message? ;How do I make sure the members of my group conversation have seen my post?;"Je les appelle pour leur demander. //Je leur renvoie le même message.//Je clique sur Autres options ""…"" pour accéder à la liste des vues par membre.";"I call them to ask.//I send the same message to them individually.//I click on ""More Options ""..."" to access the list of views per member.";"Dans une conversation de groupe, je structure mes messages pour ne pas noyer mes interlocuteurs de messages. Je clique sur ""Autres options"" pour savoir qui a vu mon message. ";"In a group conversation, I structure my posts so I don't spam my teammates with several messages. I click on ""More options"" to see who has seen my message.";C;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_3;Fichiers;Mon équipe et moi tenons à jour un fichier Excel de suivi de données. Existe-t-il un moyen d'y avoir facilement accès ?;My team and I are keeping an up-to-date data tracking file in Excel. Is there an easy way to access it?;"Il ne peut pas y avoir de tri ou de sélection, tous les fichiers sont dans l'onglet ""Fichiers ""du canal ou de la conversation.//Oui, je peux épingler un fichier dans la barre d'onglet d'une conversation ou d'un canal. ";"All files are in the ""Files"" tab in the channel or in the conversation.//Yes, I can pin a file as a tab in the conversation or channel.";Pour permettre à mon équipe d'accéder rapidement à un document clé, je l'épingle dans le canal adéquat. ;To allow my team to quickly access a key document, I pin it in the appropriate channel.;B;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_4;Fichiers;Je souhaite retrouver l'ancienne version d'un document partagé dans Teams, quel est le bon parcours? ;I want to get the old version of a shared document in Teams, what is the right path?;"Une fois le document ouvert, je clique sur le nom du document en haut de l'interface.//Je clique sur ""Historique des versions"". //Pour commencer, je vais dans l'onglet ""Fichiers"" et j'ouvre le document dans l'application.//Enfin, je sélectionne la version que je souhaite récupérer dans la fenêtre de droite. ";"After opening the document, I click on the document's name at the top of the interface.//I click ""Version History"".//To start, I click on the ""Files"" tab and I open the document into the application.//Then, I select the version I want to restore in the right window.";En partageant un document dans une équipe, je suis sûr.e qu'il n'y a plus qu'une seule version de document. Je suis sûr.e de travailler sur la dernière version à jour et si besoin je peux télécharger une ancienne version à une date précise, en utilisant l'historique des versions. ;By sharing a document in a team I am making sure there is only one version of this document and I'm sure i'm working on the latest and most updated version. If necessary I can download an older version from a specific date, using the version history.;C//A//B//D;BonParcours
PILPROJ;Inter;PILPROJ_INT_FR_5;Applications;De nouveaux membres vont rejoindre mon équipe projet. Comment faire en sorte que la navigation de l'équipe sur Teams soit intuitive ?;New members are joining my team project. How can I make using the team intuitive for them?;J'ajoute un onglet OneNote qui recense tout ce qu'il faut savoir sur l'équipe.//J'ajoute un onglet Excel qui recense tout ce qu'il faut savoir sur l'équipe.//J'ajoute un onglet avec un fichier PDF qui recense tout ce qu'il savoir sur l'équipe.;I add a OneNote tab which lists everything you need to know about the team.//I add an Excel tab which lists everything you need to know about the team.//I add a tab with a PDF file which lists everything you need to know about the team.;Lorsqu'il s'agit d'accueillir un nouveau membre dans mon équipe projet, pour faciliter son intégration, je peux mettre en place une FAQ, une liste de tâches du nouvel arrivant, une liste de procédures et de liens utiles, etc…et tout ça dans un onglet OneNote. ;When it comes to welcome a new member into my project team I can set up an FAQ, a list of tasks for the new member, a set of links, etc ... and all of it embedded in a OneNote tab.;A;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_6;Applications;J'aimerais avoir une vue sur l'avancement des tâches de mon équipe projet. Quel outil dois-je privilégier dans Teams ?;I wish I had a view of the task progress of my project team. What tool should I use in Teams?;Planificateur, qui est un outil Microsoft entièrement intégré à Teams et synchronisé avec Outlook.//Un outil de gestion de projet déjà mis en place dans mon entreprise et qui s'intègre à Teams (Trello, Jira, Asana, …).//Excel;Planner, which is a Microsoft tool, fully integrated and synchronized with Outlook.//A project management tool which is already set up in my company and which fully integrates with Teams (Trello, Jira, Asana, ...).//Excel;Utiliser des applications spécifiques à la gestion des tâches et de projets permet à mon équipe d'être plus efficace et de réduire l'envoi de messages ou d'emails sur la progression des tâches.;Using specific applications for managing tasks and projects allows my team to be more efficient and decrease the volume of messages or emails related to the completion of these tasks;A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_7;Statut/Raccourcis;Je travaille sur des sujets importants et je souhaite être informé.e par email des activités manquées sur Teams. Comment faire? ;I work on important topics and I would like to remain informed by email about missed activity on Teams. How can I do that?;"Je vais dans ""Paramètres"".//Je commence par cliquer sur mon profil.//Je vais dans ""Notifications"".//Enfin, je définis la fréquence des ""Courriers concernant les activités manquées"". ";"I go to ""Settings"".//I first click on my profile.//I go to ""Notifications"".//I define the frequency of ""Emails about missed activities.""";Pour ne rien rater des notifications importantes sur mes projets, je paramètre mes notifications et je suis informé.e de tout même en consultant mes emails!;In order not to miss important updates about my projects, I set up my notifications and then remain informed of everything while I am looking at my emails.;B//A//C//D;BonParcours
PILPROJ;Inter;PILPROJ_INT_FR_8;Statut/Raccourcis;"Dans une équipe, on peut avoir un statut de ""Propriétaire"" ou de ""Membre"". Pourquoi est-il conseillé de nommer plusieurs propriétaires dans une équipe? ";"In a team, you can either have a status of ""Owner"" or ""Member"". Why is it recommended to appoint several owners in a team?";"Ce n'est pas conseillé, il faut un seul propriétaire par équipe. //Définir plusieurs propriétaires permet aux autres propriétaires de continuer à gérer les paramètres et les droits de l'équipe, même en cas d'absence. //Il est conseillé plutôt de nommer tous les membres comme ""Propriétaire"". ";"It is not recommended. You should have only one owner per team.//By setting several owners, you allow other owners to continue managing settings and rights of the team when the first owner is out of office//It is instead recommended to appoint all members as ""Owner"".";Quand je crée une équipe, je nomme directement 2 ou 3 propriétaires qui pourront gérer l'équipe au cas où je m'absente ou je quitte la société. ;When I create a team, I choose 2 or 3 owners who will manage the team if I'm away or in case I leave the company.;B;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_9;Appels;Julie est en déplacement professionnel, et elle souhaite joindre la réunion hebdomadaire par téléphone. Où peut-elle trouver le numéro de téléphone associé? ;Julie is on a business trip,  she wants to join the weekly meeting through her phone. Where can she find the meeting phone number?;"En cliquant sur la réunion depuis son calendrier Outlook.//En cliquant sur la réunion depuis son calendrier Teams.//En allant dans l'onglet ""Appels"".";"By clicking on the meeting from her Outlook calendar//By clicking on the meeting from Teams//In her calendar in the ""Calls"" tab.";Quand je crée une réunion Teams depuis Outlook, je vérifie toujours que les éléments de connexion à la réunion sont ajoutés automatiquement en bas de l'invitation. Ces informations de connexion sont disponibles aussi bien sur Teams que sur Outlook ! ;When I create a Teams meeting from Outlook, I always check that the different elements of the meeting are automatically added to the bottom of the invitation. These credentials are available in both Teams on Outlook!;A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_10;Appels;Comment suis-je informé.e qu'une réunion est lancée dans un canal? ;How am I informed when a meeting is launched in a channel?;Je reçois une notification Teams m'informant que quelqu'un a démarré la réunion.//Une icône Caméra s'affiche à côté du nom du canal.//Réponse C. ; I get a Teams notification informing me that someone started the meeting.//A camera icon appears right next to the name of channel.//Answer C.;"Je peux rejoindre une réunion de canal en me rendant dans le canal et en cliquant sur ""Rejoindre"". ";"I can join a channel meeting by going  into the channel and clicking ""Join"".";A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_11;Calendrier;Vrai ou Faux? Je peux inviter des externes à une réunion Teams avec mon équipe projet.;True or false? I can invite external guests to a Teams meeting with my project team.;"Vrai//Faux
";"True//False
";Je peux inviter des externes à une réunion Teams en ajoutant leurs adresses email dans l'invitation. Même si les personnes externes ne sont pas familières avec Teams, elles peuvent rejoindre et participer  à la réunion Teams grâce aux éléments de connexion inclus dans l'invitation. ;I can invite external guests to a Teams meeting by adding their email addresses in the invitation. Even if the guests are not familiar with Teams, they can join and participate to the Teams meeting thanks to the links and elements included in the invitation.;A;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_12;Calendrier;Quelle est la durée de réunion conseillée pour un point de synchronisation hebdomadaire? ;What is the recommended duration of a weekly synchronization meeting?;2 heures//45 min//1 heure;2 hours//45 minutes//1 hour;Pour les réunions hebdomadaires avec mon équipe, je détermine un agenda en avance et je privilégie les réunions de 45 minutes pour laisser à tout le monde 15 minutes de battement avant la prochaine réunion. ;For weekly meetings with my team, I set up an agenda beforehands and I pefer 45 minutes to let everyone a 15 minutes break before the next meeting.;B;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_13;Équipe/Discussions;J'ai besoin de co-créer ou de partager des informations confidentielles avec certains membres de mon équipe, comment faire? ;I need to co-create or share confidential information with some members of my team, how can I do that ?;Je leur envoie un email.//Je crée une nouvelle équipe pour traiter les sujets confidentiels.//Je crée un canal privé au sein de mon équipe. ;I send them a email.//I create a new team to handle confidential matters.//I create a private channel in my team.;"Il est plus intéressant de créer un canal privé dans une équipe qu'une conversation de groupe ou un email, car de cette manière toute l'information portant sur un même projet est conservée au même endroit et non pas dispersée entre une équipe, des conversations, des emails... Pour cela, je clique sur ""Plus d'options …"", puis sur ""Ajouter un canal"". Un canal privé n'est seulement visible et accessible que par les membres sélectionnés.";"It is better to create a private channel in a team rather than a group conversation or an email. This way all of the information related to a project is stored in the same place and won't get lost among team conversations and emails. To do this, I click ""More options ..."" and then ""Add channel"". A private channel can only be seen and accessed by selected members.";C;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_14;Équipe/Discussions;Dans une équipe, pour attirer l'attention sur ma publication je peux :  ;In a team, to draw attention to my publication I can:;"Mettre en forme mon message en cliquant sur l'icône ""Format"" en forme de A.//Utiliser le mode ""Annonce"".//Mentionner des personnes spécifiques.//Utiliser les trois techniques évoquées ci-dessus. ";" Format my message by clicking on the format icon shaped ""A"".//Use the ""Announcement"" mode.//Mention specific people.//Use the three techniques mentioned above.";"Par défaut, les notifications des canaux sont désactivées. Il est donc important que je mentionne les membres de mon équipe mais également que je rende ma publication attrayante pour attirer l'œil de mon audience. Pour mettre en forme une publication, je clique sur l'icône ""Format"" en forme de A pour accéder à toutes les options. ";"By default, channel notifications are disabled. It is important to @mention the members of my team but I also need to make my publication appealing to attract the eye of my colleagues. To format a publication, I click on the format icon (""A"") to access all the options.";D;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_1;Conversations;On vient d'envoyer un email à mon équipe en me mettant en cc. Pour éviter les interminables échanges d'email, je souhaite utiliser Teams, à la place: ;We just sent an email to my team putting me in cc. To avoid long email threads, I want to use Teams, instead:;"Je crée une équipe.//Je crée une conversation de groupe à propos de l'email reçu.//J'utilise la fonctionnalité ""Répondre par un message instantané"" dans Outlook pour répondre sur Teams. ";"I create a team.//I create a group conversation about the mail received.//I use the functionality ""Reply via instant message"" in Outlook to respond on Teams.";"Quand je constate qu'un échange serait plus efficace sur Teams que par email, je redirige la conversation vers Teams en utilisant la fonctionnalité ""Répondre par un message instantané"" depuis Outlook. Attention, cette fonctionnalité n'est pas disponible actuellement sur MacOS. ";"When I see that an exchange would be more efficient on Teams that email, I redirect the conversation to Teams by using the ""Reply with Instant Message"" from Outlook. *Please note that this feature is currently not available on MacOS.";C;QCMUnique
PILPROJ;Avance;PILPROJ_AVA_FR_2;Conversations;Dans quels cas est-il conseillé de publier mon message dans une conversation de groupe plutôt que dans un canal?  ;In what cases is it recommanded to publish my message in a group conversation rather than a channel?;Pour savoir qui va déjeuner.//Pour décider des horaires de la prochaine réunion.// Pour partager une anecdote.//Pour partager un fichier à co-éditer avec l'ensemble de l'équipe. ;To know who is going to lunch.//To determine the agenda for the next meeting.//To share an anecdote.//To share a file to co-edit with the whole team.;Avant de publier une information, je m'assure que l'emplacement que j'utilise est le bon pour adresser mon message. ;Before publishing information, I make sure that the channel I use is appropriate for my message.;A//B//C ;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_3;Fichiers;"Quel est le raccourci clavier qui ouvre la section ""Fichiers"" dans Teams? ";"What is the keyboard shortcut that opens the ""Files"" section in Teams?";Touche Windows//Ctrl 6//Ctrl -//Réponse D. ;Windows //Ctrl 6//Ctrl -//Answer D.;"Pour naviguer rapidement sur Teams, j'utilise les raccourcis claviers. J'ai accès à toute la liste depuis mon profil en sélectionnant ""Raccourcis claviers"". ";"To quickly navigate through Teams, I use keyboard shortcuts. I have access to the whole list from my profile by selecting ""Keyboard Shortcuts"".";B;QCMUnique
PILPROJ;Avance;PILPROJ_AVA_FR_4;Fichiers;Je souhaite rationnaliser le nombre de canaux dans mon équipe. En supprimant un canal:;I want to rationalize the number of channels on my team. By removing a channel:;Toutes les conversations et les fichiers seront supprimés. //Toutes les conversations seront supprimées mais les fichiers seront accessibles depuis le Sharepoint de l'équipe. //Réponse C. ;All conversations and files will be deleted.//All conversations will be deleted but the files will be accessible from the Sharepoint team.//Answer C.;Pour bien suivre mes projets, j'évite de créer plus de 10 canaux dans mes équipes pour ne pas polluer mes membres et structurer les discussions. ;To keep up with my projects, I avoid creating more than 10 channels in my team not to pollute team members and structure the discussion.;B;QCMUnique
PILPROJ;Avance;PILPROJ_AVA_FR_5;Applications;Où retrouver rapidement la liste des applications utilisées dans mon équipe? ;Where can I quickly find the list of applications used in my team?;"Cette liste n'existe pas. //Je vais dans ""Gérer l'équipe"" puis dans l'onglet ""Applications"".//Je vais dans ""Gérer l'équipe"" puis dans l'onglet ""Canaux."" ";"This list does not exist.//I go to ""Manage team"" and in the ""Applications"" tab.//I go to ""Manage team"" and in the ""Channels"" tab.";"Pour visionner les applications utilisées dans mon équipe, je vais dans ""Gérer l'équipe"" et j'obtiens la liste dans l'onglet ""Applications"". Je peux choisir de désinstaller celles qui n'ont pas d'utilité dans mon équipe. ";"To view the applications used in my team, I go to ""Manage team"" and I get the list in the ""Applications"" tab. I can choose to remove those who are not used anymore.";B;QCMUnique
PILPROJ;Avance;PILPROJ_AVA_FR_6;Applications;J'utilise plusieurs Planificateurs appartenant à diverses équipes/canaux. Quel est le bon parcours pour retrouver toutes mes tâches en un seul endroit ?;I use multiple planners from various teams / channels. What is the right way to get all my tasks in one place?;"Je sélectionne l'application ""Planificateur"".//Je commence par cliquer sur les trois points ""…"" dans le bandeau gauche.//Enfin, j'épingle l'onglet dans le bandeau gauche de Teams.//Je clique sur ""Attribué à vous"".";"I select the ""Planner"" app.//I first click the three dots ""..."" on the left.//To finish, I pin the tab in the left banner of Teams.//I click on ""Assigned to me"".";"Pour retrouver toutes mes tâches en un seul endroit, je dispose d'un affichage personnel sans avoir à quitter Teams: Je clique sur l'onglet "" ..."" dans le menu de navigation à gauche, puis je recherche ""Planificateur"" et je l'ouvre. Je fais un clic droit sur ce nouvel onglet pour accéder à l'option ""Epingler"". Ainsi, je peux accéder rapidement à toutes mes tâches affectées depuis plusieurs Planificateurs. ";"To get all my tasks in one place, I can look at the personal view without leaving Teams: I click on the ""..."" in the navigation menu on the left, then I search for ""planner"" and open it. I right-click on the new tab to access the ""Pin"" option. Thus, I can quickly access all of my assigned tasks for several Planners.";B//A//D//C;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_7;Statut/Raccourcis;Quel est le bon parcours pour paramétrer les notifications d'un canal?;What is the right way to manage the notifications of a channel?;"Je sélectionne ""Notifications du canal"". //Je commence par cliquer sur les trois points ""…"" à côté du canal.//Je clique sur""Personnaliser"".//Enfin, je sélectionne comment je souhaite être informé.e des nouvelles publications et mentions dans ce canal.";"I select ""Channel notifications.""//I first click the three dots ""..."" next to the channel.//I click on ""Manage channel"".//Finally, I select how I would like to be informed about new posts and mentions in this channel.";Pour me tenir à jour de tout ce qui se passe dans mes équipes, je paramètre les notifications des canaux. ;To keep me updated on everything that happens in my teams, I set notifications channels according to my needs.;B//A//C//D;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_8;Statut/Raccourcis;"A la différence d'un ""Membre"", que peut faire en plus un ""Propriétaire"" de l'équipe? ";"What can an ""Owner"" manage in a team that a ""member"" cannot?";Modifier la description et le nom d'une équipe.//Supprimer l'équipe.//Quitter une équipe.//Supprimer un canal privé.;Edit the description and the name of a team.//Delete a team//Leave a team.//Delete a private channel.;"A tout moment, je peux changer le statut d'un ""Membre"" en ""Propriétaire"" pour m'aider à gérer l'équipe. ";"At any moment, I can change the status of a ""Member"" as ""Owner"" to help me manage the team.";A//B//D;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_9;Appels;Nous avons une réunion avec un participant externe qui n'a pas l'application Teams. Il souhaite participer activement à la visioconférence. Je lui conseille d'ouvrir le lien de la réunion via: ;We have a meeting with an external person who does not have the Teams application. He wants to actively participate in a videoconference. I advise him to open the meeting link via:;Le navigateur Edge//Le navigateur Chrome//Le navigateur Safari//Le navigateur Mozilla Firefox;The Edge browser//Chrome browser//The Safari browser//Mozilla Firefox browser;Si je n'ai pas accès à l'application Teams, je peux participer à une réunion Teams et bénéficier de la meilleure expérience vocale et vidéo possible en utilisant les navigateurs Edge, Chrome ou Safari. ;If I do not have access to the Teams application, I can participate in a Teams meeting and get the best possible voice and video experience using Edge, Chrome or Safari.;A//B//C;QCMMultiple
