Module;Niveau;#;Sous-Thématiques;Questions;Réponses;Bonnes pratiques;Réponses attendues;Mécaniques
COMM;Deb;COMM_DEB_FR_13;Équipe/Discussions;J'écris un longue publication dans un canal, et je souhaite revenir à la ligne. Comment faire? ;MAJ + Entrée me permet de revenir à la ligne//Ce n'est pas possible, ma publication ne sera pas aérée. ;J'essaie de rendre mes publications agréables à lire pour mes collègues.;A;QCMMultiple
COMM;Deb;COMM_DEB_FR_14;Équipe/Discussions;Pour répondre à une publication dans une équipe, je clique sur: ;Zone Démarrer une conversation//Icône Répondre//Icône Format;Pour réagir à une nouvelle publication, je clique sur Répondre pour ajouter un commentaire. Ainsi, mes collègues peuvent retrouver facilement le fil de discussion de la publication. ;B;QCMUniqueImage
COMM;Inter;COMM_INT_FR_1;Conversations;QueIles sont les fonctionnalités disponibles pour mettre en forme mon message? ;Je peux utiliser les emojis et les Gifs//Je peux mettre mon texte en gras/italique et en couleur//Je peux dessiner directement dans la zone de message//Je peux créer un tableau directement dans mon message;Je mets en forme mes messages pour une meilleure lisibilité et j'utilise les émojis et les Gifs pour ajouter du fun dans mes conversations. ;A//B//D;QCMMultiple
COMM;Inter;COMM_INT_FR_2;Conversations;Quel raccourci clavier utilise Megan dans cette vidéo pour insérer des émojis? ;"Windows ;//CTRL N//CTRL ,//Windows +";Ajoutez du fun à vos messages en insérant des émojis et des Gifs;A;QCMUniqueVideo
COMM;Inter;COMM_INT_FR_3;Fichiers;Lorsque je dépose un fichier dans un canal, aucune notification n'est envoyée. Quelles sont les solutions idéales pour prévenir mes collègues qu'un fichier est disponible ?;J'informe mes collègues oralement que j'ai déposé un nouveau fichier//Je poste une publication contenant le lien du fichier et je mentionne le canal//Je poste un message dans le une conversation de groupe;Pour s'assurer que les fichiers sont toujours correctement rangés dans mon canal, mon équipe et moi créons tous les dossiers nécessaires et nous nous efforçons ne notifier lorsque nous déposons de nouveaux fichiers. ;B;QCMMultiple
COMM;Inter;COMM_INT_FR_4;Fichiers;Comment permettre à un collègue d'accéder à un fichier que j'ai déposé sur Teams ?;Je télécharge le fichier sur mon PC et je lui envoie par email//Je télécharge le fichier sur mon PC et je lui envoie dans notre conversation privée//Je copie le lien du fichier et je le lui envoie dans notre conversation privée.;Je garde à l'esprit que si le fichier fait partie d'une équipe privée et que mon contact n'en est pas membre, il ne pourra pas y accéder.;C;QCMUnique
COMM;Inter;COMM_INT_FR_5;Applications;Quel est le bon parcours pour épingler un site internet à un canal pour y accéder facilement? ;"Je rajoute l'URL du site internet//Je sélectionne l'icône Site web//Je nomme l'onglet//Je sélectionne le canal et je  clique sur l'onglet ""+""";Pour accéder rapidement à un site Internet spécifique utile à mon équipe, je crée un onglet dédié qui nous permettra d'accéder au site directement dans Teams. ;D//B//C//A;BonParcours
COMM;Inter;COMM_INT_FR_6;Applications;Je souhaite lancer un sondage auprès des membres d'un canal. Comment puis-je faire ?;Cette fonctionnalité n'existe pas dans Teams//J'utilise l'application Sondage ou Forms qui sont intégrés à Teams//Je créé un fichier Excel et je demande aux membres de le compléter//Je crée une nouvelle publication en postant ma question. ;"En utilisant des outils intégrés à Teams, je suis plus efficace car je n'ai pas besoin de sortir de Teams pour créer un sondage. Dans la zone de publication, je clique sur l'icône Extensions de messagerie ""…"" je sélectionne l'application Sondage, je clique sur Ajouter et je personnalise mon sondage. ";B;QCMMultiple
COMM;Inter;COMM_INT_FR_7;Statut/Raccourcis;Je souhaite ne pas être interrompu pendant 2 heures pour travailler tranquillement sur un dossier de fond. Quel est le seul statut qui désactive toutes mes notifications ?;"Occupé//Ne pas déranger: Le seul statut qui me permet de ne plus recevoir de notifications est le statut ""Ne pas déranger""//Absent";"Les différents statuts (avec picto)
- Disponible
- Occupé (s'active automatique lorsque je suis en réunion)
- Ne pas déranger (s'active automatique lorsque je fais un partage d'écran)
- Absent (s'active après une longue période d'inactivité sur Teams)
- Absent du bureau (s'active lorsque cela est indiqué dans mon calendrier Outlook)
- Déconnecté";B;QCMUniqueImage
COMM;Inter;COMM_INT_FR_8;Statut/Raccourcis;Quelle fonctionnalité permet de m'avertir quand mon interlocuteur sera de nouveau disponible? ;Marquer comme non lue//Désactiver les notifications//M'avertir lorsque le statut devient disponible ;"Je ne sollicite pas  mon interlocuteur, lorsque son statut est sur ""Ne pas déranger""/""En présentation"". Je sélectionne l'action ""M'avertir lorsque le statut devient disponible"". ";C;QCMUnique
COMM;Inter;COMM_INT_FR_9;Appels;Je suis en ligne avec mon responsable, en cours d'appel nous souhaitons ajouter Alex à la conversation. Comment faire? ;"Je raccroche l'appel en cours et je lance un nouvel appel de groupe//J'appelle Alex depuis mon mobile et je le mets en haut parleur//J'ajoute Alex à l'appel en cours en cliquant sur Ajouter des participants
";Si j'ai besoin d'un avis d'une personne supplémentaire en cours d'appel, je vérifie qu'il est disponible via son statut et j'utilise la fonctionnalité Ajouter des participants pour l'inviter à rejoindre l'appel. ;C;QCMMultiple
COMM;Inter;COMM_INT_FR_10;Appels;En ce moment je travaille tous les jours avec Megan du département Marketing, pour un chantier commun. Quel est le bon parcours pour ajouter Megan à la liste de Numérotation rapide? ;"Je sélectionne le dernier appel avec Megan.//Je vais dans l'onglet ""Appels"".//Je clique enfin sur ""Ajouter à la numérotation rapide"".//Je clique sur l'icône Autres actions ""…"" à côté du dernier appel de Megan.";"Ajouter un contact dans la Numérotation rapide me permet de le joindre par appel plus rapidement et notamment depuis un téléphone portable. Ils sont accessibles depuis l'onglet  ""Appels"" et sont épinglés au-dessus de mes groupes de contacts. ";B//A//D//C;BonParcours
COMM;Inter;COMM_INT_FR_11;Calendrier;Je souhaite prendre la parole lors d'une réunion avec une dizaine de participants. Trouvez l'intrus : ;"Activer mon micro et prendre la parole// Ecrire dans le chat//Utiliser la fonctionnalité ""lever la main""//Nous sommes trop nombreux, je vais éviter de prendre la parole";Dans la mesure du possible, je privilégie le chat ou le lever de main pour interagir avec les autres participants.;D;QCMUniqueImage
COMM;Inter;COMM_INT_FR_12;Calendrier;Depuis mon calendrier Teams, je peux: Cocher les bonnes réponses;Créer une nouvelle réunion//Rejoindre une réunion// Bloquer du temps dans mon agenda pour travailler//Créer une liste de tâches;Pour ne pas être submergé de réunions, je réserve toujours des créneaux dans mon calendrier pour avancer sur mes tâches et pour communiquer mes disponibilités à mes interlocuteurs. ;A//B//C;QCMMultiple
COMM;Inter;COMM_INT_FR_13;Équipe/Discussions;Je fais partie de plusieurs équipes sur Teams et j'ai du mal à m'y retrouver. Que puis-je faire pour y mettre de l'ordre ?;"Je quitte certaines équipes, au risque de perdre de l'information.//Je masque les équipes qui ne m'intéressent pas.// Je change l'ordre de la liste de mes équipes, en les déplacant avec ma souris.//J'affiche les équipes qui m'importent le plus.
";Pour maintenir de l'ordre dans Teams, je dois régulièrement épingler/masquer les équipes ou les canaux qui ne sont plus d'actualité.;B//C//D;QCMMultiple
COMM;Inter;COMM_INT_FR_14;Équipe/Discussions;Je viens de créer une équipe, mais certains membres ne la voient pas dans leur liste. Comment puis-je les aider à la retrouver? ;Je les mentionne dans une nouvelle publication de l'équipe.// Je prends une capture écran de l'équipe et je leur envoie par chat.//Je leur partage le lien direct vers l'équipe.//Je leur partage le nom de l'équipe pour qu'ils le retrouvent depuis la barre de recherche. ;Quand je crée une nouvelle équipe, je crée une publication de bienvenue en mentionnant les membres de l'équipe. J'y ajoute la description et l'objectif de cette nouvelle équipe.;A//C//D;QCMMultiple
COMM;Avance;COMM_AVA_FR_1;Conversations;Quel est le moyen le plus rapide pour envoyer un message  à un contact ?;"En allant dans l'onglet conversation et en retrouvant le dernier message échangé avec mon contact//En cliquant sur l'icône ""Conversation"" après avoir passé ma souris sur la photo de profil de mon contact//En cherchant le nom de mon contact depuis la barre de recherche//En tapant /conversation + Nom du contact + mon message directement dans la barre de recherche";"La barre de recherche ne sert pas uniquement à effectuer des recherches, elle me permet également de faire diverses actions. Je découvre la liste de toutes les actions possibles en tapant ""/"" dans la barre de recherche !";D;QCMMultiple
COMM;Avance;COMM_AVA_FR_2;Conversations;Dans quels cas est-il préférable de créer une conversation plutôt que d'envoyer un email? ;Pour demander une revue de mon travail//Pour communiquer une note interne//Pour convenir d'une date de réunion//Pour communiquer une information à caractère important et officiel ;J'utilise le bon outil pour le bon message. Je privilégie Teams pour les échanges rapides et instantanés, j'utilise l'email pour communiquer des informations importantes et officielles. ;A//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_3;Fichiers;Quel est le bon parcours pour partager le lien d'un fichier stocké sur mon OneDrive dans Teams?;"Je fais clique droit et je copie le lien.//Je sélectionne le fichier qui m'intéresse.//Je sélectionne ""OneDrive"".//Je me rends dans l'onglet ""Fichiers"" du menu de navigation à gauche;";En accédant à mes fichiers stockés sur OneDrive directement surTeams,  je reste dans une seule interface et je ne perds pas de temps à naviguer entre différentes fenêtres !;D//C//B//A ;BonParcours
COMM;Avance;COMM_AVA_FR_4;Fichiers;Pendant un appel, on me demande de retrouver un fichier partagé sur Teams. Comment faire? ;Je tape le nom du fichier dans la barre de recherche et je filtre sur Fichiers//Je vais dans l'onglet Fichiers et je filtre l'affichage.//Je demande à un collègue.//Je vais dans l'Explorateur de fichiers sur mon PC. ;Pour retrouver rapidement un fichier, je tape le nom du fichier dans la barre de recherche Teams. Je filtre ensuite les résultats de recherche sur Filtrer. ;A//B;QCMMultiple
COMM;Avance;COMM_AVA_FR_5;Applications;Je souhaiter connaître les nouvelles fonctionnalités d'appels dans Teams. Comment y accéder? ;"Dans le bandeau de gauche, je clique sur ""…"".//Je sélectionne l'onglet ""Nouveautés"".//Je clique sur ""Aide"".//Je tape le mot clé ""Appels"" dans la barre de recherche. ";Afin d'optimiser mon usage de Teams et apporter de l'aide à mon équipe, je consulte régulièrement les nouveautés de l'application. Et je partage les nouveautés avec mon équipe !;A//C//B//D;BonParcours
COMM;Avance;COMM_AVA_FR_6;Applications;Sur Teams, comment permettre à mes interlocuteurs d'accéder rapidement à une application tierce?;Je l'épingle à une conversation.//Je l'épingle à un canal.//Je l'épingle dans le bandeau gauche.//Je l'épingle dans ma barre de tâches. ;"Si mon organisation le permet, je peux ajouter une application tierce à Teams. Sinon, je peux ajouter le connecteur ""Site Web"" depuis une conversation/canal et le relier à l'application qui m'intéresse.Dans la mesure du possible, je fais remonter le besoin à mon équipe IT pour que l'application soit intégrée au catalogue de mon organisation !";A//B//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_7;Statut/Raccourcis;Trouvez les bonnes réponses:;"Lorsque je suis en statut [""Ne pas déranger""] : Je reçois seulement des notifications lorsqu'une personne de ma liste de contacts prioritaires m'envoie un message ou m'appelle.//Je reçois seulement des notifications lorsqu'une publication signalée comme ""Importante"" a été publiée.//Mes appels entrants sont basculés automatiquement sur ma messagerie vocale.//Personne ne peut m'envoyer de messages.";"Je peux rajouter des personnes à ma liste de contacts prioritaires depuis les paramètres > confidentialité. 
Une notification est envoyée quoi qu'il arrive lorsque je publie un message important. Je dois donc utiliser cette fonctionnalité avec parcimonie !";A//B//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_8;Statut/Raccourcis;J'utilise le raccourci clavier CTRL 2 pour accéder rapider à l'onglet conversation. Mon collègue qui travaille sur Mac aimerait également naviguer rapidement dans Teams grâce à des raccourcis clavier. Quel est le bon parcours pour trouver les raccourcis claviers disponibles par plateforme?;"Je clique sur ma photo de profil.//Je clique sur ""Afficher les raccourcis pour toutes les plateformes"".//Je sélectionne ""Raccourcis clavier"".//Je vais dans l'onglet Windows ou MacOS";Lorsque je suis très à l'aise avec Teams, naviguer ou interagir grâce à des raccourcis clavier peut se révéler efficace !;A//C//B//D;BonParcours
COMM;Avance;COMM_AVA_FR_9;Appels;Je suis en réunion et on vient de me laisser un message vocal sur mon répondeur. J'aimerais savoir si c'est urgent. Comment le consulter discrètement? ;Je ne peux pas, je dois attendre la fin de la réunion pour le consulter.//J'invente une excuse pour sortir de la salle de réunion.//Le message vocal est transcripté, je peux le lire en cliquant sur la ligne de l'appel. ;Je demande toujours à mes interlocuteurs de me laisser un message vocal, si je ne suis pas disponible. La fonctionnalité Transcription des messages vocaux me permet de consulter rapidement ma messagerie même si je suis en réunion!;C;QCMMultiple
COMM;Avance;COMM_AVA_FR_10;Appels;"Je souhaite que mon responsable puisse me joindre à tout moment même quand mon statut est sur ""Ne pas déranger"". Quel est le bon parcours pour gérer l'accès prioritaire? ";Je vais dans Paramètres.//Je clique sur ma photo de profil.//Je vais dans Confidentialité.//Je sélectionne Gérer l'accès prioritaire.;Je gère l'accès de mes contacts prioritaires pour qu'ils puissent me contacter à tout moment. ;B//A//C//D;BonParcours
COMM;Avance;COMM_AVA_FR_11;Calendrier;Un responsable a partagé un lien important dans le fil de conversation de la réunion d'hier. Il serait pertinent de partager ce lien à un autre collègue. Comment retrouver ce lien et lui partager? ;J'ouvre la réunion depuis mon onglet Outlook.//J'ouvre la réunion depuis mon calendrier Teams et je vais dans l'onglet Conversation.//Je demande au responsable de me repartager le lien. ;Si on me partage une information importante que je souhaite traiter plus tard, j'enregistre le message pour le retrouver facilement plus tard. ;B;QCMMultiple
COMM;Avance;COMM_AVA_FR_12;Calendrier;Mon responsable est en déplacement à l'étranger. Il me demande de modifier l'horaire de notre point hebdomadaire pour correspondre à son fuseau horaire. Comment faire? ;J'obtiens son fuseau horaire et je calcule de tête à quelle heure  il est susceptible d'être disponible.//Je modifie notre point dans Teams en sélectionnant son fuseau horaire et en utilisant l'Assistant de planification.//Je lui dis que je suis disponible pour faire une réunion à 22 heures. ;Si j'ai une réunion avec une personne à l'étranger, en créant la réunion je sélectionne son fuseau horaire puis je clique sur l'Assistant de planification pour voir les créneaux disponibles sur nos deux agendas. Je privilégie les horaires de travail pour préserver l'équilibre personnel et professionnel. ;B;QCMMultiple
COMM;Avance;COMM_AVA_FR_13;Équipe/Discussions;Cochez toutes les affirmations vraies. Les balises…;Sont créées à partir des équipes//sont limitées à trois personnes//Permettent de s'adresser à un groupe de personnes définies dans une équipe//Me permettent d'appeler ou de créer une conversation à un groupe de personnes définies dans une équipe;Par défaut, les mentions individuelles de canal et d'équipe sont disponibles. Pour affiner la communication, je peux créer des mentions personnalisées. Ainsi, je ne notifie qu'une poignée de personnes définies et je ne suis pas obligé de notifier tout un canal, une équipe ou individu par individu.;A//C//D;QCMMultiple
COMM;Avance;COMM_AVA_FR_14;Équipe/Discussions;Je souhaite communiquer une note interne d'une vingtaine de lignes aux membres d'un canal. Comment faire? ;Je crée une conversation de groupe pour partager la note interne.//J'obtiens l'adresse email du canal dans Teams et je leur transfère la note interne par email.//Je crée une nouveIle publication dans le canal.;Je choisis le bon outil pour le bon usage. Je privilégie Teams pour les échanges rapides et instantanés, j'utilise l'email pour communiquer des informations importantes et officielles. ;B;QCMMultiple
PILPROJ;Deb;PILPROJ_DEB_FR_1;Conversations;Quelle icône permet d'ajouter des participants à une conversation de groupe? ;Icône Partage d'écran//Icône Détacher la fenêtre//Icône Ajouter des participants// ;Si je dois ajouter des nouvelles personnes à une conversation de groupe,  j'utilise la fonctionnalité Ajouter des participants au lieu de créer une nouvelle conversation. ;C;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_2;Conversations;Que fait Megan dans la vidéo?;Elle ajoute des nouvelles personnes dans la conversation et elle partage tout l'historique de conversation.//Elle ajoute des nouvelles personnes dans la conversation.//Elle ajoute des nouvelles personnes dans la conversation et elle partage l'historique de la conversation datant de 2 jours.;Quand j'ajoute une nouvelle personne à une conversation de groupe, je lui partage l'historique de conversation pour qu'elle dispose de toutes les informations sur le projet. ;A;QCMUniqueVideo
PILPROJ;Deb;PILPROJ_DEB_FR_3;Fichiers;Avec mes collègues, pouvons-nous travailler à plusieurs, en même temps, sur un même fichier Powerpoint dans Teams? ;Ce n'est pas possible aujourd'hui dans Teams.//Si un collègue travaille déjà sur le fichier, je ne serai qu'en lecture seule.//Bien sûr, la co-édition est possible dans Teams, sur Excel, Word, PowerPoint ou OneNote!;Je partage mes fichiers dans mon équipe sur Teams. Ainsi, mes collègues et moi-même pouvons travailler sur une même version d'un document, plutôt que d'envoyer des versions successives par email.;C;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_4;Fichiers;Je travaille avec mon équipe sur un fichier Excel partagé dans Teams. Quelle est la bonne pratique pour informer mon collègue qu'il y a une erreur sur une de ses formules Excel ?;Je lui envoie un email avec une capture écran de la formule//Je fais une capture écran et je lui envoie un message sur Teams.//J'ajoute un commentaire en le @mentionnant sur la cellule concernée et je lui envoie un message sur Teams. ;Si j'ai des questions sur une zone spécifique d'un fichier Word, Powerpoint ou Excel, j'utilise l'onglet Commentaires. Cela permettra à la personne concernée d'apporter rapidement la réponse à ma question. ;C;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_5;Applications;Je souhaite suivre l'avancement d'un projet en attribuant des tâches aux membres de l'équipe. On m'a conseillé d'utiliser Planificateur que je peux épingler à un canal. Quelle icône correspond à Planificateur? ;Icône OneNote//Icône Excel//Icône Planner//Icône Forms ;Pour suivre l'avancement d'un projet, j'utilise l'application Planificateur que je peux épingler à mon canal. Je peux affecter des tâches à des personnes spécifiques et ajouter des dates limites d'exécution. Cela me permet de suivre l'avancement du projet en un seul endroit !;C;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_6;Applications;Dans quel onglet puis-je retrouver le catalogue d'applications que je peux épingler dans une équipe Teams? ;Onglet Activité//Onglet Aide//Onglet Applications;Quand je travaille sur une application tierce avec mon équipe, je vérifie qu'elle est disponible dans le catalogue d'applications de Teams et je l'épingle dans un des canaux. ;C;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_7;Statut/Raccourcis;Où puis-je accéder au flux d’activités et aux événements survenus au sein des canaux d’équipe que je suis? ;Icône Conversation//Icône Activité//Icône Fichiers;Après une longue déconnexion sur Teams, je vais dans les Activités et je filtre les notifications sur @ Mentions pour retrouver facilement les publications qui me concernent directement.;B;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_8;Statut/Raccourcis;"Dans mon flux d'activités, je retrouve: 
Cochez les bonnes réponses : ";Les réactions à mes publications dans les canaux//Mes appels manqués//Les publications où je suis mentionné//Mes conversations;J'utilise l'onglet Activités et j'utilise les filtres pour retrouver facilement une publication où on me mentionne.;A//B//C;QCMMultiple
PILPROJ;Deb;PILPROJ_DEB_FR_9;Appels;Que fait Alex dans la vidéo? ;Il crée une réunion.//Il crée une conversation de groupe.//Il crée un groupe de contacts d'appels.;Si je dois joindre régulièrement des personnes spéficiques à une équipe, je crée un groupe de contacts pour les retrouver facilement dans les Appels. Cela m'évite de parcourir mon historique d'appels. ;C;QCMUniqueVideo
PILPROJ;Deb;PILPROJ_DEB_FR_10;Appels;J'ai besoin d'une information urgente de la part de Julie. Mais elle est absente et son message d'absence indique d'appeler son responsable Martin L. Comment trouver le numéro de Martin L.? ;Je demande à mon responsable s'il le connaît, tous les responsables se connaissent.//Dans ma conversation avec Julie, je vais dans l'onglet Organisation pour trouver Martin L. et je lance l'appel en cliquant sur l'icône correspondant.//J'attends le retour de Julie. ;Quand une nouvelle personne de mon organisation me contacte et que je souhaite savoir à quelle équipe cette personne est rattachée, j'utilise l'onglet Organisation situé dans notre conversation. ;B;QCMUniqueImage
PILPROJ;Deb;PILPROJ_DEB_FR_11;Calendrier;"Vrai ou faux? Si une personne utilise la fonctionnalité ""Assistant de planification"", elle aura accès aux détails de mon calendrier. ";Vrai//Faux;J'utilise l'Assistant de planification pour voir les créneaux disponibles des mes interlocuteurs. Je n'ai pas accès aux détails de leur calendrier. Si une case est vide, cela signifie qu'ils sont disponibles, si elle est pleine, ils sont occupés, si elle est composée de rayures, ils sont occupés provisoirement et si elle est rouge, ils sont absents. ;B;QCMUnique
PILPROJ;Deb;PILPROJ_DEB_FR_12;Calendrier;Pour avoir une vue sur mes réunions de la semaine, je vais dans Calendrier et je peux filtrer ma vue par: ;Jour//Semaine//Semaine de travail//Mois;En début de semaine, je prends connaissance des réunions programmées de la semaine. Je me bloque du temps dans mon agenda pour pouvoir avancer sur mes dossiers de fond. ;A//B//C;QCMMultipleVideo
PILPROJ;Deb;PILPROJ_DEB_FR_13;Équipe/Discussions;Que fait Alex dans la vidéo? ;Il crée une conversation de groupe.//Il crée une équipe.//Il ajoute plusieurs canaux dans son équipe pour organiser les conversations par sujet.//Il crée une réunion. ;Dans mes équipes, je crée différents canaux  pour organiser les conversations par sujets, projets et disciplines spécifiques. Par analogie, l'équipe correspond à une maison et les canaux correspondent à plusieurs pièces de la maison. ;B//C;QCMMultipleVideo
PILPROJ;Deb;PILPROJ_DEB_FR_14;Équipe/Discussions;Je souhaite modifier les membres de mon équipe projet. Comment faire? ;"Ce n'est pas possible, je dois créer une nouvelle équipe.//
Je clique sur les trois points à côté du nom de l'équipe et je vais dans Gérer l'équipe.//Je clique sur les trois points à côté du nom de l'équipe et je vais dans Obtenir un lien vers l'équipe.";En tant que propriétaire d'une équipe, je peux ajouter à tout moment des nouveaux membres ou en supprimer. ;B;QCMUnique
PILPROJ;Inter;PILPROJ_INT_FR_1;Conversations;Pourquoi il est conseillé de renommer une conversation de groupe? ;Pour la retrouver facilement à partir de la barre de recherche//Pour identifier rapidement le thème abordé//Pour la rendre plus conviviale//Pour structurer mes conversations de groupe ;Je peux retrouver des interlocuteurs similaires dans mes conversations de groupe. Je nomme toujours mes nouvelles conversations de groupe pour identifier le sujet abordé et le retrouver facilement à partir d'un mot clé. ;A//B//D//C;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_2;Conversations;Comment m'assurer que les membres de ma conversation de groupe ont bien vu mon message? ;"Je renvoie un message dans la conversation de groupe en leur demandant s'ils ont lu mon message. //Je leur renvoie le même message.//Je clique sur ""Autres options"" pour accéder à la liste des vues par membre";"Dans une conversation de groupe, structurez vos messages pour ne pas noyer vos interlocuteurs de messages. Cliquez sur ""Autres options"" pour savoir qui a vu votre message. ";C;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_3;Fichiers;Mon équipe et moi tenons un fichier de suivi de données Excel à jour régulièrement. Existe-t-il un moyen d'y avoir facilement accès ?;"Il ne peut pas y avoir de tri ou de sélection, tous les fichiers sont dans l'onglet Fichiers du canal ou de la conversation.//Oui, tout à fait ! Lorsque je suis dans un canal ou une conversation, je peux épingler un fichier Word, PowerPoint ou Excel dans la barre d'onglet. Pour cela, je fais un clic droit sur le fichier et je clique sur ""Transformer en onglet"". //Je l'enregistre la publication contenant le fichier dans mes Favoris. ";Pour permettre à mon équipe d'accéder rapidement à un document clé, je l'épingle dans le canal adéquat. ;B;QCMMultiple
