9075;THEMATIQUE          ;7;en;Files;;
9097;QUESTION            ;220;fr;Depuis l'application mobile, quelle icône permet d'envoyer un message audio?;En mobilité, j'utilise les messages audio pour échanger rapidement avec mes collègues via l'application mobile. Je maintiens l'icône Micro appuyée pour enregistrer le message, et je relâche une fois le message terminé, puis j'appuie sur l'icône Envoyer.;
9098;QUESTION            ;44;fr;Pour co-éditer simultanément un document Excel avec mes collègues, je clique sur: ;Si je souhaite co-éditer un document avec plusieurs de mes collègues, j'évite de le télécharger sur mon PC pour bénéficier de la fonctionnalité co-édition. ;
9099;QUESTION            ;148;fr;Pourquoi il est conseillé de renommer une conversation de groupe? ;Je peux retrouver des interlocuteurs similaires dans mes conversations de groupe. Je nomme toujours mes nouvelles conversations de groupe pour identifier le sujet abordé et le retrouver facilement à partir d'un mot clé. ;
9100;QUESTION            ;91;fr;Je suis en réunion, j'interviens mais personne ne réagit à ma proposition…. Que se passe-t-il? ;Teams détecte et conseille proactivement les participants lorsque de petites erreurs communes impactent le bon déroulé d'une réunion. ;
9076;THEMATIQUE          ;4;en;Teams;;
9101;QUESTION            ;277;fr;Nous avons une réunion avec un participant externe qui n'a pas l'application Teams. Il souhaite participer activement à la visioconférence. Je lui conseille d'ouvrir le lien de la réunion via: ;Si je n'ai pas accès à l'application Teams, je peux participer à une réunion Teams et bénéficier de la meilleure expérience vocale et vidéo possible en utilisant les navigateurs Edge, Chrome ou Safari. ;
9102;QUESTION            ;335;fr;Je travaille en binôme avec Alex. Je veux mettre en place des notes partagées à épingler à notre conversation. Quelle application dois-je utiliser? ;Quand je travaille en équipe sur un projet, j'utilise les notes partagées pour que tout le monde retrouve les informations au même endroit. ;
9103;QUESTION            ;286;fr;Je suis en réunion avec 3 collègues, je projette mon bureau et l'un de mes collègues propose de prendre la main sur mon poste pour nous expliquer un process compliqué. Est-ce possible? ;Je peux donner le contrôle sur mon PC de façon souple, à des collègues qui participent à la même réunion que moi. En donnant le contrôle, je peux identifier la souris de mon collègue facilement car sa photo de profil apparaîtra à côté de sa souris. Je peux aussi reprendre ce contrôle très facilement.;
9104;QUESTION            ;120;fr;Je souhaite modifier les membres de mon équipe projet. Comment faire? ;En tant que propriétaire d'une équipe, je peux ajouter à tout moment des nouveaux membres ou en supprimer.;
9105;QUESTION            ;163;fr;Quand je mentionne une personne, j'aimerais supprimer son nom de famille et ne conserver que son prénom, est-ce possible ? ;Si je ne mentionne pas mes collègues, je prends le risque qu'ils ne lisent pas mon message et donc que je n'obtienne pas de réponse ! ;
9106;QUESTION            ;177;fr;Où retrouver rapidement la liste des applications utilisées dans mon équipe? ;Pour visionner les applications utilisées dans mon équipe, je vais dans Gérer l'équipe et j'obtiens la liste dans l'onglet Applications. Je peux choisir de désinstaller celles qui n'ont pas d'utilité dans mon équipe. ;
9107;QUESTION            ;84;fr;Je peux filtrer des conversations, de manière à ne retrouver que celles liées à des réunions.  ;Pour retrouver mes conversations échangées lors des réunions, depuis l'onglet Conversation, j'utilise la fonctionnalité Filtre et je sélectionne Réunions. Je peux ensuite épingler les conversations que je souhaite conserver en haut de la liste. ;
9108;QUESTION            ;74;fr;Je suis en télétravail et je m'apprête à suivre une réunion, mais mon environnement est mal rangé….Comment masquer cette réalité à mes interlocuteurs? ;J'active au maximum ma caméra pendant les réunions, afin de conserver l'attention de tous.;
9109;QUESTION            ;36;fr;Vrai ou faux ? Lorsque j'utilise Teams sur mon mobile, je peux consulter mes équipes et les fichiers associés. ;Je retrouve mon univers Teams partout avec moi, grâce à l'application mobile ! Au-delà des conversations, j'ai accès à mes équipes et aux bibliothèques de fichiers correspondants.;
9110;QUESTION            ;346;fr;Pendant un appel, on me demande de retrouver un fichier partagé sur Teams. Comment faire? ;Pour retrouver rapidement un fichier, je tape le nom du fichier dans la barre de recherche Teams. Je filtre ensuite les résultats de recherche sur Filtrer. ;
9111;QUESTION            ;111;fr;Je souhaite travailler sur une présentation simultanément avec mon collègue qui n'est pas sur site. Comment procéder pour que l'on ait la même version? ;Si je dois travailler sur un même fichier avec une personne spécifique, je privilégie le partage de fichiers, plutôt que d'envoyer des versions successives par email.;
9112;QUESTION            ;267;fr;Quelle action me permet de mettre fin à la réunion pour tous les participants? ;En tant qu'organisateur.rice de réunion, je peux choisir de Quitter la réunion mais celle-ci continuera pour les autres participants, ou bien je peux Mettre fin à la réunion pour tous les participants.  ;
9113;QUESTION            ;135;fr;Je lance une réunion à la volée depuis une conversation de groupe. En cours d'appel, je peux: ;Lorsque je crée une réunion rapide depuis une conversation de groupe, je n'ai pas accès aux fonctionnalités avancées des réunions. Si je souhaite enregistrer la réunion, utiliser la fonction Lever la main, avoir des notes partagées… je dois créer la réunion depuis mon Calendrier. ;
9114;QUESTION            ;224;fr;Qui peut télécharger la liste des participants à une réunion? ;;
9115;QUESTION            ;218;fr;De nouveaux membres vont rejoindre mon équipe projet. Comment faire en sorte que la navigation de l'équipe sur Teams soit intuitive ?;Lorsqu'il s'agit d'accueillir un nouveau membre dans mon équipe projet, pour faciliter son intégration, je peux mettre en place une FAQ, une liste de tâches du nouvel arrivant, une liste de procédures et de liens utiles, etc…et tout ça dans un onglet OneNote. ;
9116;QUESTION            ;256;fr;Quel est le bon parcours dans l'application mobile Teams, pour retrouver rapidement les publications où on me mentionne? ;Si je ne me suis pas connecté.e depuis un moment sur Teams, je repère rapidement les publications qui me concernent directement en filtrant mes notifications. ;
9117;QUESTION            ;23;fr;Depuis l'application mobile Teams, quelles sont les options qui me permettent de partager un fichier? ;;
9118;QUESTION            ;147;fr;Je souhaite planifier une réunion projet avec des interlocuteurs externes. Je veux créer une Salle d'attente pour valider manuellement leur entrée dans la réunion. Quel est le bon parcours? ;Quand je planifie une réunion avec l'externe, j'active l'option Salle d'attente pour valider l'accès à la réunion. ;
9119;QUESTION            ;374;fr;Nous allons avoir notre réunion de service dans 2 heures, et 4 de mes collègues sont malades, donc absents….Comment faire pour qu'ils accèdent aux contenus de la réunion? ;L'enregistrement des réunions, s'il est autorisé par l'entreprise, permet aux absents de prendre connaissance de la réunion, ou de revisionner individuellement des moments de cette réunion.;
9120;QUESTION            ;330;fr;Dans quels cas est-il conseillé de publier mon message dans une conversation de groupe plutôt que dans un canal?  ;Avant de publier une information, je m'assure que l'emplacement que j'utilise est le bon pour adresser mon message. ;
9121;QUESTION            ;34;fr;Je ne serai pas disponible tout l'après-midi et je souhaite rediriger mes contacts, quelqu'ils soient, vers Julie. Comment faire?;En déplacement ou en congé, j'ajoute dans mon message de statut la personne à contacter durant mon absence. Je coche toujours la case Afficher lorsque des personnes m'envoient un message pour informer mes interlocuteurs. ;
9122;QUESTION            ;225;fr;J'aimerais avoir une vue sur l'avancement des tâches de mon équipe projet. Quel outil dois-je privilégier dans Teams ?;Utiliser des applications spécifiques à la gestion des tâches et de projets permet à mon équipe d'être plus efficace et de réduire l'envoi de messages ou d'emails sur la progression des tâches.;
9123;QUESTION            ;342;fr;Pour être efficace, je conseille aux membres de mon équipe de respecter le cycle de vie des réunions idéales qui est: ;Je partage les bonnes pratiques de réunion aux membres de mon équipe pour que chacun puisse organiser des réunions efficaces. ;
9124;QUESTION            ;231;fr;Je peux filtrer des conversations, de manière à ne retrouver que celles liées à des réunions.  ;Pour retrouver mes conversations échangées lors des réunions, depuis l'onglet Conversation, j'utilise la fonctionnalité Filtre et je sélectionne Réunions. Je peux ensuite épingler les conversations que je souhaite conserver en haut de la liste. ;
9125;QUESTION            ;325;fr;Quel est le bon parcours pour modifier mon statut sur Teams en un minimum de clics?;Mes interlocuteurs sauront si je suis joignable grâce à mon statut à jour.;
9126;QUESTION            ;288;fr;Que fait Alex dans cette vidéo? ;Je transforme rapidement mes conversations en appel visio pour faire un point rapide avec mes interlocuteurs. ;
9127;QUESTION            ;81;fr;A quoi sert la conversation associée à chaque nouvelle réunion créée? ;Je n'hésite pas à utiliser la conversation de la réunion avant, pendant et après la réunion. Je peux également partager des documents.;
9128;QUESTION            ;184;fr;Vrai ou faux? Lorsque je crée une réunion sur Teams, je peux définir un statut des participants à la réunion : Obligatoire/Facultatif.;Je n'hésite pas à définir certains invités à ma réunion comme Facultatifs, s'ils ne sont pas indispensables à cette réunion.;
9129;QUESTION            ;355;fr;Comment faire au mieux pour partager un document avant ma réunion? ;"Le mieux est de partager le support depuis mon OneDrive dans la conversation de la réunion: ainsi, tous les échanges ayant trait à cette réunion sont centralisés.
De plus, grâce à la synchronisation de OneDrive et Teams, même mes toutes dernières modifications apportées au document seront visibles des participants. ";
9130;QUESTION            ;189;fr;Vrai ou faux? Je peux modifier l'ordre des boutons en bas de l'application Teams sur mobile.;Ce qui est top dans Teams c'est que je peux le personnaliser à mon image ! Je peux modifier l'ordre des onglets, ajouter mes applications métiers et choisir la couleur de l'interface ! ;
9131;QUESTION            ;345;fr;J'ai établi la règle suivante dans mon équipe : je demande à mes collègues d'aimer ma publication via le pouce, une fois qu'ils en ont pris connaissance. Est-ce un bon réflexe? ;Au-delà du pouce, de nouveaux boutons sont disponibles pour exprimer mon sentiment face à une publication : Coeur, Rire, Surpris, Triste, Fâché. ;
9132;QUESTION            ;235;fr;Quel est le bon parcours pour voir qui a accepté ou refusé ma réunion Teams, sans repasser par Outlook?;Je peux visualiser de très nombreuses informations de ma réunion, sans quitter l'application Teams. ;
9133;QUESTION            ;244;fr;Je me promène dans la rue et viens de voir une nouvelle publicité d'un concurrent. J'aimerais prendre une photo avec mon téléphone et l'envoyer rapidement à mon responsable. Comment faire? ;Grâce à la fonctionnalité Caméra intégrée dans Teams, je peux être réactif.ve et partager des informations rapidement à mes collègues. Je peux prendre une photo d'un problème technique sur un chantier, un mauvais affichage en magasin, une photo d'un document, d'une carte de visite ou simplement leur partager le menu du midi. Pour cela, j'ouvre l'application, j'appuie sur Plus et je sélectionne Caméra. Je la partage ensuite dans une conversation ou dans un canal !;
9134;QUESTION            ;115;fr;Je souhaite suivre l'avancement d'un projet en attribuant des tâches aux membres de l'équipe. On m'a conseillé d'utiliser Planificateur. Quelle icône correspond à Planificateur? ;Pour suivre l'avancement d'un projet, j'utilise l'application Planificateur que je peux épingler à mon canal. Je peux affecter des tâches à des personnes spécifiques et ajouter des dates limites d'exécution. Cela me permet de suivre l'avancement du projet en un seul endroit !;
9135;QUESTION            ;82;fr;Je souhaite travailler sur une présentation simultanément avec mon collègue qui n'est pas sur site. Comment procéder pour que l'on ait la même version? ;Si je dois travailler sur un même fichier avec une personne spécifique, je privilégie le partage de fichiers, plutôt que d'envoyer des versions successives par email.;
9136;QUESTION            ;250;fr;Dans mon équipe Teams, nous avons créé 12 canaux. Ils s'affichent tous lorsque je consulte l'équipe sur mon mobile. Comment réduire cette liste ? ;Pour naviguer aisément dans mon interface Teams, je peux moduler facilement l'affichage des canaux sur mobile. ;
9137;QUESTION            ;128;fr;Je travaille avec mon équipe sur un fichier Excel partagé dans Teams. Quelle est la bonne pratique pour informer Alex qu'il y a une erreur sur une de ses formules?;Si j'ai des questions sur une zone spécifique d'un fichier Word, Powerpoint ou Excel, je vais dans l'onglet Révision du document et j'insère des Commentaires et j'utilise le @mention. Cela permettra à la personne concernée d'apporter rapidement la réponse à ma question. ;
9138;QUESTION            ;213;fr;J'ai partagé le détail de mon calendrier sur Outlook aux membres de mon équipe pour qu'ils puissent me fixer des rendez-vous plus facilement. Est-ce qu'ils ont la vue de mon Calendrier sur Teams? ;Aujourd'hui, je ne peux pas visualiser directement le calendrier partagé par une autre personne dans Teams. Par contre, en utilisant l'Assistant de planification, j'ai accès aux détails de tous les calendriers partagés avec moi. ;
9139;QUESTION            ;4;fr;Quelle est la durée de réunion conseillée pour un point de synchronisation hebdomadaire? ;Pour les réunions hebdomadaires avec mon équipe, je détermine un agenda en avance et je privilégie les réunions de 45 minutes pour laisser à tout le monde 15 minutes de battement avant la prochaine réunion. ;
9140;QUESTION            ;305;fr;Vrai ou faux? Le rapport d'assiduité des participants à une réunion contient le nom, l'action (a rejoint), la date et l'heure de l'action pour chacun des participants. ;En tant qu'organisateur de la réunion, je peux ainsi savoir à quelle heure les différents participants sont arrivés.;
9141;QUESTION            ;295;fr;Que fait Megan dans la vidéo?;Quand j'ajoute une nouvelle personne à une conversation de groupe, je lui partage l'historique de conversation pour qu'elle dispose de toutes les informations sur le projet. ;
9142;QUESTION            ;242;fr;Je souhaite que mon responsable puisse me joindre à tout moment même quand mon statut est sur Ne pas déranger. Quel est le bon parcours pour gérer l'accès prioritaire? ;Je gère l'accès de mes contacts prioritaires pour qu'ils puissent me contacter à tout moment. ;
9143;QUESTION            ;338;fr;Je suis dans la rue avec mon téléphone et je vois une publicité intéressante que je veux partager à Alex, notre graphiste. Quel est le bon parcours ? ;;
9078;THEMATIQUE          ;6;en;Statuses/Shortcuts/Shortcuts;;
9080;THEMATIQUE          ;2;en;Statuses/Shortcuts;;
9144;QUESTION            ;54;fr;Je souhaite suivre l'avancement d'un projet en attribuant des tâches aux membres de l'équipe. On m'a conseillé d'utiliser Planificateur. Quelle icône correspond à Planificateur? ;Pour suivre l'avancement d'un projet, j'utilise l'application Planificateur que je peux épingler à mon canal. Je peux affecter des tâches à des personnes spécifiques et ajouter des dates limites d'exécution. Cela me permet de suivre l'avancement du projet en un seul endroit !;
9145;QUESTION            ;14;fr;Lors d'une réunion, tous les participants activent leurs caméras. Alex coordonne la réunion, quel est le bon parcours pour le voir en grand dans la fenêtre de la vidéo?;Je peux ainsi décider quel flux je veux regarder en grand : le document qui est présenté ou l'un des participants à la réunion. ;
9146;QUESTION            ;57;fr;Quel est le bon parcours pour paramétrer mes notifications? ;Pour ne pas être notifié.e pour des activités qui ne m'intéressent pas, je paramètre mes notifications ! Si j'utilise rarement Teams, je préfère être notifié.e par e-mail. Au contraire, si j'utilise quotidiennement Teams, je préfère recevoir des fenêtres de notifications sur mon ordinateur.;
9147;QUESTION            ;334;fr;Dans mon équipe Teams, nous avons créé 12 canaux. Ils s'affichent tous lorsque je consulte l'équipe sur mon mobile. Comment réduire cette liste ? ;Pour naviguer aisément dans mon interface Teams, je peux moduler facilement l'affichage des canaux sur mobile. ;
9148;QUESTION            ;41;fr;Que fait Alex dans la vidéo? ;Si je dois joindre régulièrement des personnes spéficiques à une équipe, je crée un groupe de contacts pour les retrouver facilement dans l'onglet Appels. Cela m'évite de parcourir tout mon historique d'appels. ;
9149;QUESTION            ;265;fr;Nous avons une présentation avec un client. Mon client m'indique qu'il est avec un membre de son équipe qui est mal entendant et qu'il a besoin du sous-titrage pour suivre la réunion en ligne. Qu'est-ce que je fais?  ;Afin de garantir l'accessibilité numérique pour tous, je recommande à mon équipe de prendre connaissance des fonctionnalités d'accessibilité disponibles dans les applications Microsoft, pour être sûr que tous les contenus soient accessibles.  Ainsi, on peut s'adapter facilement à toutes les situations et partager les bonnes pratiques.;
9150;QUESTION            ;5;fr;Megan coordonne un projet avec moi. Elle participe à un événement externe cet après-midi et elle souhaite me transférer tous ses appels. Quelle est l'astuce pour reconnaître ces appels transférés? ;Si je travaille en binôme avec un.e collègue, lorsque l'un.e de nous n'est pas disponible pour répondre, on se transfère les appels pour que nos interlocuteurs aient toujours un point de contact principal sur le projet. Je peux accéder à cette fonctionnalité depuis les Paramètres et en sélectionnant ensuite la section Appels.;
9151;QUESTION            ;351;fr;Mon responsable est en déplacement à l'étranger. Il me demande de modifier l'horaire de notre point hebdomadaire pour correspondre à son fuseau horaire. Comment faire? ;Si j'ai une réunion avec une personne à l'étranger, en créant la réunion je sélectionne son fuseau horaire puis je clique sur l'Assistant de planification pour voir les créneaux disponibles sur nos deux agendas. Je privilégie les horaires de travail pour préserver l'équilibre personnel et professionnel. ;
9152;QUESTION            ;196;fr;Vrai ou faux? Toute personne qui utilise la fonctionnalité Assistant de planification, aura accès aux détails de mon calendrier. ;J'utilise la fonctionnalité Assistant de planification pour voir les créneaux disponibles de mes interlocuteurs. S'ils ne m'ont pas partagé leurs calendriers sur Outlook, je n'aurai pas accès aux détails de leurs calendriers. Si une case est vide, cela signifie qu'ils sont disponibles, si elle est pleine, ils sont occupés, si elle est composée de rayures, ils sont occupés provisoirement et si elle est rouge, ils sont absents. ;
9153;QUESTION            ;350;fr;Vrai ou faux? Je peux mettre un titre à une publication dans un canal. ;Si je ne  mets pas de titre à ma publication dans un canal, c'est comme si j'envoyais un email sans objet !;
9154;QUESTION            ;310;fr;Un responsable commercial me demande quelle application j'utilise pour gérer les congés de mon équipe. Il gère une équipe de 20 personnes et aimerait avoir un fichier de suivi personnel des congés de son équipe. Que puis-je lui recommander? ;Les applications Microsoft disposent d'un champ de possibilités pour m'aider à bien gérer mes équipes. Je privilégie Excel pour avoir un suivi global des congés de mon équipe. Et en plus, je peux l'épingler dans Teams ou le partager facilement aux RH!;
9155;QUESTION            ;216;fr;Comment m'assurer que les membres de ma conversation de groupe ont bien vu mon message? ;Dans une conversation de groupe, je structure mes messages pour ne pas noyer mes interlocuteurs de messages. Je clique sur Autres options pour savoir qui a vu mon message. ;
9156;QUESTION            ;31;fr;Dans mon flux d'activités (notifications), je retrouve: ;Je consulte mes notifications depuis l'onglet Activités et j'utilise les filtres pour retrouver facilement une publication où on me mentionne.;
9157;QUESTION            ;292;fr;Je consulte les fichiers d'une équipe depuis l'application mobile. Si je le souhaite, je peux ajouter :;Je peux continuer à travailler dans mes équipes, d'où je veux et quand je veux, grâce à l'application Teams sur mobile.;
9158;QUESTION            ;21;fr;J'ai besoin de diffuser la même information dans plusieurs équipes, quel est le bon parcours? ;Je gagne du temps en publiant une même information dans plusieurs canaux d'équipes. ;
9159;QUESTION            ;366;fr;Quel est le raccourci clavier qui ouvre la section Fichiers dans Teams? ;Pour naviguer rapidement sur Teams, j'utilise les raccourcis claviers. J'ai accès à toute la liste depuis mon profil en sélectionnant Raccourcis claviers. ;
9160;QUESTION            ;379;fr;Quel est le bon parcours pour paramétrer les heures de réception de mes notifications mobiles?;Je définis les heures de réception des notifications pour réfléter mes heures de travail et pour réserver mes soirées et week-end sans bloquer les notifications .;
9161;QUESTION            ;243;fr;Quel est le bon parcours pour paramétrer les notifications d'un canal?;Pour me tenir à jour de tout ce qui se passe dans mes équipes, je paramètre les notifications des canaux. ;
9162;QUESTION            ;174;fr;J'ai accepté une réunion programmée pour cet après-midi mais finalement je ne peux pas y assister car j'ai un rendez-vous chez un client. Comment en informer l'organisateur.rice de la réunion?;Quand mon agenda est chargé et que je ne peux finalement pas assister une réunion, je modifie ma réponse et j'ajoute une note expliquant le motif de refus. Comme cela j'évite de déranger l'organisateur.rice dans son travail et il.elle a une vue à jour des réponses des participants de sa réunion. ;
16066;THEMATIQUE          ;3;en;Calendar;;
9163;QUESTION            ;316;fr;Quel est le bon parcours pour créer une réunion Teams à partir d'Outlook ? ;Les fonctionnalités habituellement disponibles dans Outlook sont présentes : rendre cette réunion périodique, utiliser l'assistant de planification pour identifier le meilleur créeau horaire pour tous les participants.;
9164;QUESTION            ;10;fr;Il est 13h55, je sors du tramway et je lance ma réunion de 14h sur l'application mobile Teams. J'ai alors accès: ;Quand j'ai un peu de retard à une réunion physique, je me connecte à la réunion depuis l'application mobile et j'avertis mes interlocuteurs que j'arrive bientôt. ;
9165;QUESTION            ;60;fr;Je sais que j'ai posté une réponse importante à un message d'Alex, mais je ne sais plus dans quelle équipe Teams. Comment retrouver mon message? ;Cela m'arrive de vouloir retourner sur une publication à laquelle j'ai réagi. Pour retrouver mes dernières activités dans les différentes équipes Teams auxquelles j'appartiens, je vais dans l'onglet Activité et je sélectionne Mon activité au lieu de Flux.;
9166;QUESTION            ;94;fr;Quel est le bon parcours pour partager un fichier de mon OneDrive sur Teams?;En accédant à mes fichiers stockés sur OneDrive directement surTeams,  je reste dans une seule interface et je ne perds pas de temps à naviguer entre différentes fenêtres !;
9167;QUESTION            ;279;fr;Vrai ou faux ? Lorsque j'utilise Teams sur mon mobile, je peux consulter mes équipes et les fichiers associés. ;Je retrouve mon univers Teams partout avec moi, grâce à l'application mobile ! Au-delà des conversations, j'ai accès à mes équipes et aux bibliothèques de fichiers correspondants.;
9168;QUESTION            ;90;fr;J'ai besoin de diffuser la même information dans plusieurs équipes, quel est le bon parcours? ;Je gagne du temps en publiant une même information dans plusieurs canaux d'équipes. ;
9169;QUESTION            ;173;fr;Que fait Alex dans cette vidéo? ;Je modifie mon statut pour informer mes interlocuteurs que je suis Disponible, Occupé, De retour bientôt, Absent ou en mode Ne pas déranger. ;
9170;QUESTION            ;59;fr;Où se trouve la date d'expiration de l'équipe que j'ai créée? ;La date d'expiration de l'équipe dépend de la stratégie adoptée par l'entreprise : 3 mois, 6 mois, 12 mois, 18 mois... ;
9171;QUESTION            ;145;fr;Quel est le bon parcours pour épingler un site internet à un canal, afin d'y accéder facilement? ;Pour accéder rapidement à un site internet spécifique qui sera utile à mon équipe, je crée un onglet dédié qui nous permettra d'accéder au site directement dans Teams. ;
9172;QUESTION            ;69;fr;Que fait Megan dans cette vidéo? ;Dans Teams, je paramètre la vue de mon calendrier sur Jour pour avoir une vue d'ensemble sur mon agenda du jour. ;
9173;QUESTION            ;241;fr;Vrai ou faux? Utiliser l'outil Planificateur pour faire du suivi d'actions d'une réunion à l'autre est pertinent. ;L'application Planificateur peut être épinglée à un canal et ainsi permettre un suivi dynamique des actions des équipes. ;
9174;QUESTION            ;12;fr;Quelle fonctionnalité permet de m'avertir quand mon interlocuteur.rice sera de nouveau disponible? ;Je ne sollicite pas mon interlocuteur.rice, lorsque son statut est sur Ne pas déranger ouEn présentation. Je sélectionne plutôt l'action M'avertir lorsque le statut devient disponible comme cela je le.la solliciterai au bon moment. ;
9175;QUESTION            ;343;fr;Dans la vidéo, pendant sa réunion, Alex peut choisir de partager: ;Pendant une réunion, je préfère partager l'intégralité de mon écran car c'est parfait quand je dois partager plusieurs fenêtres en toute transparence.  Je présente uniquement un fichier Powerpoint quand je dois partager une présentation et faire en sorte que d’autres personnes puissent la parcourir à leur propre rythme.;
9176;QUESTION            ;144;fr;Je fais partie d'un canal privé nommé Prévision des ventes avec trois de mes collègues. Je souhaite leur partager la nouvelle procédure interne que je viens de recevoir par email, concernant les déplacements professionnels:;Pour ne pas polluer la communication de mes équipes, je choisis toujours le bon outil pour adresser mon message. ;
9177;QUESTION            ;87;fr;Je souhaite modifier une publication que j'ai écrite car j'ai indiqué un taux de renouvellement de 70% alors qu'il est en ce moment de 80 % : comment faire? ;Je peux modifier facilement une petite erreur dans une publication. ;
9178;QUESTION            ;381;fr;Depuis l'application mobile, quel onglet me permet d'accéder aux messages et publications enregistrés?;Même en déplacement, je peux accéder rapidement à mes messages et publications enregistrés. C'est pratique car je n'ai pas besoin de revenir sur mon PC pour les retrouver. ;
9179;QUESTION            ;358;fr;Quel statut privilégier sur Teams, lorsque je suis en rendez-vous client et que je ne veux pas être dérangé.e? ;Je peux modifier manuellement mon statut sur Teams même depuis l'application mobile.;
9180;QUESTION            ;1;fr;Quel statut privilégier sur Teams, lorsque je suis en rendez-vous client et que je ne veux pas être dérangé.e? ;Je peux modifier manuellement mon statut sur Teams même depuis l'application mobile.;
